FileName,ClassName,label,SourceGroupID,Split,LC25000_GroupID,LC25000_LocalCluster,ImageSHA256
colonca1.jpeg,colon_aca,0,21,Train,21,21,6d13b03cbd15ab8e8ef50d85a910e677507e2303b8932436c5ea443ce99d595a
colonca10.jpeg,colon_aca,0,187,Validation,187,187,e1502e6b9a474e6e9627509427eec41a3ef14c38ab05c9d361874c393f92fd40
colonca100.jpeg,colon_aca,0,69,Test,69,69,ad5deca9ace1169f2294daccd0a8ed74c46c4b5aab7200b662380e0516c91170
colonca1000.jpeg,colon_aca,0,226,Train,226,226,18d658b4955401ec206f5088656fbd88cc5a37d36fae63447c7c595702b91b16
colonca1001.jpeg,colon_aca,0,177,Train,177,177,d7671f425d9fbb0085ad558feebca4294ff3a8d1de6b039b36454514fa51939d
colonca1002.jpeg,colon_aca,0,177,Train,177,177,78b49934d0ff3d75b592b15309528b3999ad860ce7fe64d8d5b1bcc2b95c8390
colonca1003.jpeg,colon_aca,0,70,Train,70,70,8c997b5c8ed24865a276083e88fee737f3527edc3e756c4785c89ab4e3c53dbe
colonca1004.jpeg,colon_aca,0,124,Train,124,124,91e93614460c7d2dd021e35a463ebcdf2a8b2b6fadab5b22e0863e3341aab54d
colonca1005.jpeg,colon_aca,0,6,Test,6,6,c19f2edd237897e9931cba6acb9acf83d2601242d04b61e2d252d3be72fa83da
colonca1006.jpeg,colon_aca,0,208,Train,208,208,b99f2096dfcd308fe6d8734ae65229ed7a99af2c19b0c9efd6d286719d940ffb
colonca1007.jpeg,colon_aca,0,80,Validation,80,80,0c56fe3a447920382b62c9e3ffe4b58e411654a53855d991c52d21c5f91d69fb
colonca1008.jpeg,colon_aca,0,240,Train,240,240,2c9034b039920072a5598866abe806ca74c51da6c310f60f6a72f3ce9d277644
colonca1009.jpeg,colon_aca,0,9,Test,9,9,4031aa842b5c68bed420a0277e619746b9084f71b535cea2a486ab631c504044
colonca101.jpeg,colon_aca,0,218,Train,218,218,d9ac5829205ccef39fd8bc4da9a25ca979ee38094a62275e8267461c1568a12d
colonca1010.jpeg,colon_aca,0,58,Train,58,58,447c5945fbac3d8404e72eff9aad36f4903db44f8ccac263425acd950f94e607
colonca1011.jpeg,colon_aca,0,119,Validation,119,119,4757167729e1eaf6db1b9338af0ddb8bfef9e42f7f0bc7a4a1db6c04887a0c6c
colonca1012.jpeg,colon_aca,0,194,Test,194,194,080fdaef12e5e39f59fda416e55627edd785466bff149e44c298e4699c6c0940
colonca1013.jpeg,colon_aca,0,194,Test,194,194,65123a657b3841ef5ab0532568a963333078d1b63d95a26de5f14e4a45eb453f
colonca1014.jpeg,colon_aca,0,38,Test,38,38,a96daa44312ff77b6cba5bbab44c2636e5400d3e9f41e841743e5e40db1eefe6
